Time	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11
75.48666666666666	1840	76796	92951	97189	84607	75677	73001	67968	60284	60422
75.5425	1801	74561	93848	99439	84904	76032	75081	69044	61292	62176
75.59833333333333	1805	79380	93636	97547	82194	74564	74017	68981	61030	64331
75.65416666666667	1846	79371	93631	99833	84365	73498	71404	67932	59301	60688
75.71	1889	75446	91573	96586	83405	76440	72711	69293	61867	61539
75.76583333333333	1834	79156	92000	97531	84099	76046	73741	68723	61465	59925
75.82166666666667	1813	80604	91372	94962	83090	76217	74249	69006	59123	59429
75.8775	1743	79779	88739	95524	81754	74864	71449	68633	59584	58627
75.93333333333334	1794	80043	90716	96482	84058	76048	73104	66525	59584	61670
75.98916666666666	1801	77781	92096	98014	81488	74957	73415	67772	59623	62384
76.045	1805	81857	90167	96726	81790	75486	73638	67499	59608	61674
76.10083333333333	1799	73444	93858	97612	81996	75916	72117	67397	59506	62178
76.15666666666667	1802	76153	91571	96713	82590	76209	71690	68670	58679	59749
76.2125	1798	77138	91374	95308	84212	75131	71629	68234	60108	56618
76.26833333333333	1789	78322	91174	96313	83322	75043	72467	66984	61050	57953
76.32416666666667	1828	78051	93316	98544	82129	76228	73126	67768	60774	56201
76.38	1794	78181	95541	96485	82537	76790	70144	69116	58508	55872
76.43583333333333	1771	76572	94908	96821	84195	74733	73879	68491	58125	56205
76.49166666666666	1805	76465	87443	94425	80874	75010	71928	67834	59973	57936
76.5475	1818	80850	87193	94950	82729	75148	71456	68112	58700	56954
76.60333333333334	1815	69720	89310	98018	82910	75231	73637	66822	61092	56430
76.65916666666666	1839	73310	88682	95734	79981	73462	71924	68018	61269	55782
76.715	1829	76655	90116	95784	84240	76608	72001	66861	61704	57349
76.77083333333333	1803	75954	91368	96223	83546	75912	71265	67698	63005	58568
76.82666666666667	1817	75704	89811	97281	81166	76948	74710	68425	62015	55461
76.8825	1821	73251	92129	92991	81941	77039	70929	67095	60941	61026
76.93833333333333	1835	78092	91834	96894	81323	73429	73705	69289	58983	58480
76.99416666666667	1765	78914	92234	99718	84286	75385	72099	67967	57241	56002
77.05	1811	78823	90714	99146	85087	76124	71159	68057	59239	55883
77.10583333333334	1810	72227	92521	98369	83490	74810	70017	67117	57432	52661
77.16166666666666	1809	75829	94872	95985	84631	75777	72046	68614	58461	55657
77.2175	1779	75486	93700	96679	81669	75745	72637	68534	61468	54491
77.27333333333333	1729	76411	93296	97202	80174	74542	71990	67702	60421	57806
77.32916666666667	1828	79680	92724	95981	81718	76205	71161	67480	60832	60345
77.385	1813	75826	89248	97143	83666	74086	71418	67710	59425	57279
77.44083333333333	1806	76061	88553	96992	82480	76561	71302	66930	59705	60539
77.49666666666667	1792	74722	89569	97483	82152	74750	75638	68447	62182	60582
77.5525	1851	75329	87896	95316	84255	77777	71480	68639	60852	60920
77.60833333333333	1852	74715	90452	96496	85322	73745	72456	67498	63436	61744
77.66416666666667	1809	76005	89755	97082	83568	75641	73326	68348	59824	59317
77.72	1791	74985	89531	99283	83650	76131	72495	67842	57620	61077
77.77583333333334	1791	78074	91065	98941	83309	75956	73613	67824	58183	60459
77.83166666666666	1826	75007	89149	99582	84003	75176	72437	67101	58645	58037
77.8875	1845	76624	91390	97505	81369	74690	74299	68320	60107	59994
77.94333333333333	1795	75321	90699	96244	82710	76477	74092	69428	61029	56052
77.99916666666667	1826	78082	93239	95313	83733	75287	71695	68678	59583	56471
78.055	1802	80664	91858	99220	83034	76384	70864	65634	57376	60839
78.11083333333333	1757	75684	92017	96042	86958	75568	74100	68144	57557	57198
78.16666666666667	1789	77022	93590	99710	82521	76794	71940	68539	56345	61940
78.2225	1824	80180	89837	96818	83181	73853	73275	67620	62228	61879
78.27833333333334	1839	76524	90674	96136	83549	75416	70682	67699	61479	61976
78.33416666666666	1814	76362	93773	94861	82356	75452	72206	68877	59858	57196
78.39	1787	75705	91377	94381	82179	74176	71799	67896	59439	59610
78.44583333333334	1800	75190	87338	94146	82059	78153	72514	68013	59251	57549
78.50166666666667	1791	76015	88281	94374	86456	75814	73829	68293	58833	57661
78.5575	1812	77709	91772	96365	82481	76756	72553	69374	59256	57773
78.61333333333333	1770	75222	90960	97772	80964	73760	71641	69819	57566	54578
78.66916666666667	1788	80662	91696	95049	81745	75169	72625	67590	57037	53675
78.725	1813	79247	90701	98145	83909	75455	71289	69213	57387	60179
78.78083333333333	1809	77993	92176	95037	83692	74591	72967	67627	57901	55858
78.83666666666667	1825	78830	91997	95411	85508	76031	72602	69797	58630	53636
78.8925	1781	78065	91814	95965	82160	74199	72701	67333	57675	57425
78.94833333333334	1861	78722	91962	98256	84050	75949	75196	67161	60115	58248
79.00416666666666	1771	77602	93160	96638	80802	75715	72857	68830	59072	58649
79.06	1838	76567	92474	97592	83594	75685	73574	67156	59007	56498
79.11583333333333	1827	78651	92243	97145	85183	74760	72494	67580	58642	57627
79.17166666666667	1756	78213	92637	95505	82716	76050	73112	69084	57449	59474
79.2275	1855	78046	93021	96395	83401	76123	74298	69278	59007	55124
79.28333333333333	1832	76652	93837	98811	83747	74481	72417	68236	59216	56391
79.33916666666667	1798	78294	93977	96167	82240	76290	74999	67726	58174	57662
79.395	1810	78592	90622	98072	80308	75341	72937	67640	59831	55671
79.45083333333334	1795	79507	92565	98048	85713	77007	72398	67620	58713	55634
